InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
522068,20723,STRAWBERRY CHARLOTTE BAG,1,2010-09-10 17:19:00,0.85,16549.0,United Kingdom
536876,22471,TV DINNER TRAY AIR HOSTESS ,1,2010-12-03 11:36:00,11.02,,United Kingdom
548670,85152,HAND OVER THE CHOCOLATE   SIGN ,2,2011-04-01 15:37:00,2.1,15356.0,United Kingdom
519507,20726,LUNCH BAG WOODLAND,10,2010-08-17 15:17:00,1.65,15144.0,United Kingdom
509743,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2010-05-25 13:21:00,2.1,17841.0,United Kingdom
562892,23296,SET OF 6 TEA TIME BAKING CASES,8,2011-08-10 12:24:00,1.25,16292.0,United Kingdom
534389,85203,HANGING WOOD AND FELT BUTTERFLY ,1,2010-11-22 13:02:00,0.84,,United Kingdom
565396,21314,SMALL GLASS HEART TRINKET POT,6,2011-09-02 16:39:00,4.13,,United Kingdom
525071,22949,36 DOILIES DOLLY GIRL,12,2010-10-03 14:50:00,1.45,12583.0,France
511262,22118,JOY WOODEN BLOCK LETTERS,1,2010-06-07 12:43:00,4.95,16655.0,United Kingdom
544569,21622,VINTAGE UNION JACK CUSHION COVER,3,2011-02-21 12:58:00,4.95,16980.0,United Kingdom
556222,23321,SMALL WHITE HEART OF WICKER,3,2011-06-09 14:23:00,1.69,17522.0,United Kingdom
565491,22946,WOODEN ADVENT CALENDAR CREAM,12,2011-09-05 11:41:00,12.75,13881.0,United Kingdom
548984,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,2011-04-05 12:37:00,0.85,14546.0,United Kingdom
527503,22813,PACK 3 BOXES BIRD PANNETONE ,96,2010-10-18 12:23:00,1.65,16133.0,United Kingdom
533140,22047,EMPIRE GIFT WRAP,25,2010-11-16 13:04:00,0.42,15968.0,United Kingdom
566024,23201,JUMBO BAG ALPHABET,10,2011-09-08 12:51:00,2.08,13871.0,United Kingdom
569521,21181,PLEASE ONE PERSON METAL SIGN,1,2011-10-04 14:33:00,2.1,16474.0,United Kingdom
489545,22143,CHRISTMAS CRAFT HEART DECORATIONS,1,2009-12-01 12:22:00,2.1,17804.0,United Kingdom
536876,21846,PINK DIAMANTE PEN IN GIFT BOX,1,2010-12-03 11:36:00,4.21,,United Kingdom
525493,22079,RIBBON REEL HEARTS DESIGN ,4,2010-10-05 16:18:00,1.65,17576.0,United Kingdom
573553,15056bl,EDWARDIAN PARASOL BLACK,1,2011-10-31 13:48:00,12.46,,United Kingdom
490674,22118,JOY WOODEN BLOCK LETTERS,3,2009-12-07 13:06:00,4.95,14307.0,United Kingdom
562339,23198,PANTRY MAGNETIC  SHOPPING LIST,4,2011-08-04 11:59:00,1.45,13571.0,United Kingdom
549240,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-04-07 11:37:00,0.95,15910.0,United Kingdom
575985,23209,LUNCH BAG VINTAGE DOILY ,1,2011-11-13 14:09:00,1.65,17841.0,United Kingdom
527042,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2010-10-14 12:31:00,1.65,14911.0,EIRE
500784,85049D,BRIGHT BLUES RIBBONS ,12,2010-03-10 10:51:00,1.25,14286.0,United Kingdom
544075,22863,SOAP DISH BROCANTE,48,2011-02-15 14:50:00,2.55,14156.0,EIRE
499308,22266,EASTER DECORATION HANGING BUNNY,24,2010-02-26 10:11:00,0.65,14329.0,United Kingdom
557296,21933,PINK VINTAGE PAISLEY PICNIC BAG,2,2011-06-19 13:51:00,1.65,15334.0,United Kingdom
579300,23344,JUMBO BAG 50'S CHRISTMAS ,32,2011-11-29 11:30:00,2.08,14667.0,United Kingdom
553831,23118,PARISIENNE JEWELLERY DRAWER ,4,2011-05-19 11:36:00,7.5,14442.0,Channel Islands
495150,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,6,2010-01-21 11:51:00,1.65,14714.0,United Kingdom
544042,82580,BATHROOM METAL SIGN,2,2011-02-15 11:52:00,0.55,14527.0,United Kingdom
499220,84849B,FAIRY SOAP SOAP HOLDER,1,2010-02-25 11:32:00,1.69,14606.0,United Kingdom
530060,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-11-01 11:35:00,2.55,,United Kingdom
557309,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-06-19 15:15:00,1.25,16493.0,United Kingdom
497632,21770,OPEN CLOSED METAL SIGN,1,2010-02-11 13:41:00,4.95,16918.0,United Kingdom
559372,22499,WOODEN UNION JACK BUNTING,3,2011-07-08 10:23:00,5.95,12461.0,Switzerland
576654,22112,CHOCOLATE HOT WATER BOTTLE,1,2011-11-16 10:55:00,4.95,15584.0,United Kingdom
520428,22620,4 TRADITIONAL SPINNING TOPS,48,2010-08-26 11:13:00,1.25,18093.0,United Kingdom
566053,23397,FOOT STOOL HOME SWEET HOME ,1,2011-09-08 14:57:00,9.95,14410.0,United Kingdom
545587,82582,AREA PATROLLED METAL SIGN,2,2011-03-04 09:46:00,2.1,14796.0,United Kingdom
509156,84580,MOUSE TOY WITH PINK T-SHIRT,2,2010-05-20 13:28:00,3.75,15025.0,United Kingdom
580272,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,2011-12-02 12:52:00,2.1,15547.0,United Kingdom
502922,22482,BLUE TEA TOWEL CLASSIC DESIGN,1,2010-03-29 14:04:00,1.25,18041.0,United Kingdom
537622,22616,PACK OF 12 LONDON TISSUES ,12,2010-12-07 14:30:00,0.29,13173.0,United Kingdom
490745,22348,TEA BAG PLATE RED SPOTTY ,3,2009-12-07 18:02:00,1.7,,United Kingdom
543467,22310,IVORY KNITTED MUG COSY ,1,2011-02-08 14:35:00,3.29,,United Kingdom
557260,22341,LOVE GARLAND PAINTED ZINC ,12,2011-06-19 10:39:00,1.65,17932.0,United Kingdom
537879,85150,LADIES & GENTLEMEN METAL SIGN,6,2010-12-09 08:34:00,2.55,14243.0,United Kingdom
543189,22432,WATERING CAN PINK BUNNY,6,2011-02-04 11:48:00,1.95,17517.0,United Kingdom
567338,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-09-19 15:00:00,1.45,14146.0,United Kingdom
520952,22680,"FRENCH BLUE METAL DOOR SIGN, 5",6,2010-09-01 11:43:00,1.25,14901.0,United Kingdom
510548,71101E,STANDING FAIRY POLE SUPPORT ,6,2010-06-01 15:59:00,0.85,18038.0,United Kingdom
533588,84949,SILVER HANGING T-LIGHT HOLDER,192,2010-11-18 11:55:00,1.45,13089.0,United Kingdom
536742,21211,SET OF 72 SKULL PAPER  DOILIES,1,2010-12-02 13:14:00,1.45,16916.0,United Kingdom
532663,47566B,TEA TIME PARTY BUNTING,12,2010-11-14 11:32:00,4.65,14936.0,Channel Islands
498560,21240,BLUE  SPOTTY CUP,3,2010-02-21 11:29:00,0.85,16335.0,United Kingdom
573579,21156,RETROSPOT CHILDRENS APRON,1,2011-10-31 14:19:00,1.95,15033.0,United Kingdom
519925,22297,HEART IVORY TRELLIS SMALL,48,2010-08-22 15:00:00,1.25,15186.0,United Kingdom
514163,22150,3 STRIPEY MICE FELTCRAFT,2,2010-06-30 15:34:00,1.95,16283.0,United Kingdom
566249,23431,NATURAL HANGING QUILTED HEARTS ,12,2011-09-11 12:09:00,0.83,13527.0,United Kingdom
492226,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,2,2009-12-15 18:33:00,3.43,,United Kingdom
496913,82607C,GLASS BONBON JAR. SUPERFINES,6,2010-02-04 15:19:00,1.25,16986.0,United Kingdom
561214,22029,SPACEBOY BIRTHDAY CARD,1,2011-07-25 17:00:00,0.83,,United Kingdom
536975,21179,NO JUNK MAIL METAL SIGN,12,2010-12-03 14:04:00,1.25,14911.0,EIRE
516748,22172,METAL SHELF WITH RAIL ,1,2010-07-22 15:06:00,16.98,,United Kingdom
545851,22268,EASTER DECORATION SITTING BUNNY,6,2011-03-07 13:45:00,0.85,15026.0,United Kingdom
553044,21243,PINK  POLKADOT PLATE ,8,2011-05-13 09:24:00,1.69,12682.0,France
556825,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2011-06-15 10:24:00,4.13,,United Kingdom
495185,22236,CAKE STAND 3 TIER MAGIC GARDEN,12,2010-01-21 14:01:00,10.95,14439.0,Greece
537240,22059,CERAMIC STRAWBERRY DESIGN MUG,2,2010-12-06 10:08:00,3.36,,United Kingdom
578074,23109,PACK OF SIX LED TEA LIGHTS,12,2011-11-22 16:06:00,2.89,17590.0,United Kingdom
578510,23196,VINTAGE LEAF MAGNETIC NOTEPAD,2,2011-11-24 13:25:00,1.45,14056.0,United Kingdom
569983,22535,MAGIC DRAWING SLATE BUNNIES ,4,2011-10-06 19:49:00,0.42,17231.0,United Kingdom
543162,22511,RETROSPOT BABUSHKA DOORSTOP,1,2011-02-03 18:08:00,3.75,17507.0,United Kingdom
561359,23206,LUNCH BAG APPLE DESIGN,20,2011-07-26 15:29:00,1.65,17160.0,United Kingdom
490013,22333,RETRO SPORT PARTY BAG + STICKER SET,8,2009-12-03 12:27:00,1.65,17069.0,United Kingdom
562093,85099B,JUMBO BAG RED RETROSPOT,20,2011-08-02 12:59:00,1.79,13777.0,United Kingdom
501922,22119,PEACE WOODEN BLOCK LETTERS,1,2010-03-22 10:26:00,6.95,13151.0,United Kingdom
512946,22109,FULL ENGLISH BREAKFAST PLATE,6,2010-06-20 15:32:00,3.75,17625.0,United Kingdom
496690,22265,EASTER DECORATION NATURAL CHICK,6,2010-02-03 13:09:00,0.65,14399.0,United Kingdom
512902,22083,PAPER CHAIN KIT RETRO SPOT,18,2010-06-18 13:22:00,2.95,12412.0,Denmark
543283,47480,HANGING PHOTO CLIP ROPE LADDER,12,2011-02-07 09:15:00,1.65,15781.0,United Kingdom
558710,22955,36 FOIL STAR CAKE CASES ,1,2011-07-01 13:04:00,2.1,15483.0,United Kingdom
525017,21135,VICTORIAN  METAL POSTCARD SPRING,8,2010-10-03 11:35:00,1.69,13014.0,United Kingdom
558355,22795,SWEETHEART RECIPE BOOK STAND,2,2011-06-28 14:58:00,6.75,13614.0,United Kingdom
559289,21932,SCANDINAVIAN PAISLEY PICNIC BAG,3,2011-07-07 12:22:00,1.65,15719.0,United Kingdom
569007,21912,VINTAGE SNAKES & LADDERS,4,2011-09-29 18:51:00,3.75,17552.0,United Kingdom
566914,21121,SET/10 RED POLKADOT PARTY CANDLES,4,2011-09-15 14:08:00,1.25,15466.0,United Kingdom
556426,22631,CIRCUS PARADE LUNCH BOX ,3,2011-06-10 13:18:00,1.95,16729.0,United Kingdom
551400,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-28 13:18:00,2.08,17160.0,United Kingdom
546117,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6,2011-03-09 13:56:00,0.85,16771.0,United Kingdom
490938,35633B,BLUE TINSEL GARLAND ,5,2009-12-08 13:59:00,0.19,14605.0,United Kingdom
577095,35637A,IVORY STRING CURTAIN WITH POLE ,1,2011-11-17 16:39:00,1.95,15867.0,United Kingdom
535531,22837,HOT WATER BOTTLE BABUSHKA ,3,2010-11-26 15:16:00,4.65,17841.0,United Kingdom
503964,79191C,RETRO PLASTIC ELEPHANT TRAY,12,2010-04-08 17:04:00,0.85,12998.0,United Kingdom
563936,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,2011-08-22 09:03:00,1.45,17828.0,Malta
537842,21136,PAINTED METAL PEARS ASSORTED,8,2010-12-08 15:12:00,1.69,13140.0,United Kingdom
C552212,23127,FELTCRAFT GIRL NICOLE KIT,-3,2011-05-06 15:08:00,4.95,17422.0,United Kingdom
559894,21156,RETROSPOT CHILDRENS APRON,1,2011-07-13 12:06:00,1.95,14159.0,United Kingdom
529847,21165,BEWARE OF THE CAT METAL SIGN ,3,2010-10-31 13:23:00,1.69,13050.0,United Kingdom
527426,22904,CALENDAR PAPER CUT DESIGN,6,2010-10-17 16:16:00,2.95,17703.0,United Kingdom
523943,21755,LOVE BUILDING BLOCK WORD,1,2010-09-26 11:13:00,5.95,14161.0,United Kingdom
499494,85200,BUNNY EGG BOX,6,2010-02-28 14:12:00,1.25,16283.0,United Kingdom
566602,23275,SET OF 3 HANGING OWLS OLLIE BEAK,1,2011-09-13 16:05:00,2.46,,United Kingdom
502896,22374,AIRLINE BAG VINTAGE JET SET RED,3,2010-03-29 11:49:00,6.35,15527.0,United Kingdom
497922,21156,RED SPOTTY CHILDS APRON,8,2010-02-14 15:47:00,1.95,14909.0,United Kingdom
566060,20774,GREEN FERN NOTEBOOK,1,2011-09-08 15:27:00,1.63,,United Kingdom
552723,22991,GIRAFFE WOODEN RULER,12,2011-05-11 10:18:00,1.95,16229.0,United Kingdom
524525,84832,ZINC WILLIE WINKIE  CANDLE STICK,22,2010-09-29 13:15:00,0.85,14449.0,United Kingdom
534011,82552,WASHROOM METAL SIGN,24,2010-11-19 14:30:00,1.45,17873.0,United Kingdom
532810,21368,MIRRORED WALL ART LADIES,1,2010-11-14 15:23:00,2.55,17545.0,United Kingdom
536409,84906,PINK B'FLY C/COVER W BOBBLES,1,2010-12-01 11:45:00,5.95,17908.0,United Kingdom
536798,22429,ENAMEL MEASURING JUG CREAM,4,2010-12-02 15:55:00,4.25,17838.0,United Kingdom
526392,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-10-11 13:19:00,1.95,17675.0,United Kingdom
534158,84836,ZINC METAL HEART DECORATION,12,2010-11-21 12:40:00,1.25,13988.0,United Kingdom
498764,84990,60 GOLD AND SILVER FAIRY CAKE CASES,3,2010-02-22 17:21:00,0.55,14081.0,United Kingdom
541497,22322,BIRD DECORATION GREEN POLKADOT,10,2011-01-18 15:19:00,0.79,,United Kingdom
520847,22362,GLASS JAR PEACOCK BATH SALTS,1,2010-08-31 12:48:00,2.95,16791.0,United Kingdom
546643,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-03-15 13:23:00,1.25,16214.0,United Kingdom
520554,21524,DOORMAT SPOTTY HOME SWEET HOME,6,2010-08-26 16:25:00,7.49,16523.0,United Kingdom
562711,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2011-08-08 14:53:00,4.25,16788.0,United Kingdom
521901,21154,RED SPOTTY OVEN GLOVE ,1,2010-09-09 12:37:00,1.25,14688.0,United Kingdom
490074,21543,BUTTERFLY WATER TRANSFER TATTOOS ,1,2009-12-03 14:39:00,1.7,,United Kingdom
541827,22259,FELT FARM ANIMAL HEN,1,2011-01-21 17:05:00,0.83,,United Kingdom
516948,84946,ANTIQUE SILVER TEA GLASS ETCHED,24,2010-07-25 15:27:00,1.25,14551.0,United Kingdom
528263,22470,HEART OF WICKER LARGE,3,2010-10-21 11:52:00,2.95,16412.0,United Kingdom
539112,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-16 11:15:00,7.95,13468.0,United Kingdom
516700,22166,"WALL MIRROR , RECT DIAMANTE, PINK/",1,2010-07-22 12:09:00,16.13,,United Kingdom
559337,23203,JUMBO BAG DOILEY PATTERNS,1,2011-07-07 16:27:00,4.13,,United Kingdom
575668,23318,BOX OF 6 MINI VINTAGE CRACKERS,2,2011-11-10 14:59:00,2.49,18283.0,United Kingdom
529368,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,16,2010-10-28 10:16:00,2.51,,United Kingdom
568145,22496,SET OF 2 ROUND TINS DUTCH CHEESE,6,2011-09-25 11:30:00,2.95,12388.0,Australia
540995,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,1,2011-01-13 09:30:00,7.46,,United Kingdom
540372,22936,BAKING MOULD ROSE WHITE CHOCOLATE,6,2011-01-06 16:41:00,3.25,13081.0,United Kingdom
575649,21039,RED RETROSPOT SHOPPING BAG,1,2011-11-10 14:23:00,2.55,,United Kingdom
543013,22167, OVAL WALL MIRROR DIAMANTE ,1,2011-02-02 13:35:00,8.29,,United Kingdom
535475,22869,NUMBER TILE COTTAGE GARDEN 1,1,2010-11-26 14:09:00,1.95,17817.0,United Kingdom
544206,82578,KITCHEN METAL SIGN,1,2011-02-17 10:33:00,1.25,,United Kingdom
536752,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-12-02 14:06:00,7.65,17850.0,United Kingdom
493978,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-01-10 11:55:00,1.65,17920.0,United Kingdom
497912,90167,BEADED LOVE HEART JEWELLERY SET,12,2010-02-14 14:35:00,0.85,12867.0,United Kingdom
494387,70007,HI TEC ALPINE HAND WARMER,8,2010-01-14 09:46:00,1.66,,United Kingdom
C581330,22959,WRAP CHRISTMAS VILLAGE,-25,2011-12-08 11:57:00,0.42,15877.0,United Kingdom
520500,21564,PINK  HEART SHAPE LOVE BUCKET ,1,2010-08-26 12:35:00,5.91,,United Kingdom
570273,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,2011-10-10 10:51:00,1.25,13373.0,United Kingdom
580501,21592,RETROSPOT CIGAR BOX MATCHES ,3,2011-12-04 13:00:00,0.39,14546.0,United Kingdom
C547229,22801,ANTIQUE GLASS PEDESTAL BOWL,-1,2011-03-21 15:49:00,3.75,17213.0,United Kingdom
538035,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,3,2010-12-09 13:03:00,1.25,16065.0,United Kingdom
557878,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,8,2011-06-23 13:13:00,1.25,16940.0,United Kingdom
510195,20716,PARTY FOOD SHOPPER BAG,2,2010-05-27 19:53:00,1.25,13230.0,United Kingdom
545230,20960,WATERMELON BATH SPONGE,1,2011-03-01 09:55:00,2.46,,United Kingdom
575477,22386,JUMBO BAG PINK POLKADOT,4,2011-11-09 16:14:00,4.13,,United Kingdom
580903,23169,CLASSIC GLASS COOKIE JAR,3,2011-12-06 12:56:00,4.15,14606.0,United Kingdom
514685,22458,CAST IRON HOOK GARDEN FORK,8,2010-07-05 14:11:00,2.55,15076.0,United Kingdom
581114,22795,SWEETHEART RECIPE BOOK STAND,1,2011-12-07 12:19:00,6.75,14527.0,United Kingdom
493961,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2010-01-08 15:16:00,5.45,17841.0,United Kingdom
555275,20961,STRAWBERRY BATH SPONGE ,1,2011-06-01 17:18:00,2.46,,United Kingdom
551961,22906,12 MESSAGE CARDS WITH ENVELOPES,12,2011-05-05 12:39:00,1.65,13883.0,United Kingdom
507398,48184,DOOR MAT ENGLISH ROSE ,1,2010-05-09 13:15:00,7.49,17913.0,United Kingdom
534289,21354,TOAST ITS - BEST MUM,1,2010-11-22 11:25:00,2.51,,United Kingdom
564144,82616B,FRAPPUCINO SCARF KNITTING KIT,12,2011-08-23 11:53:00,1.25,13939.0,United Kingdom
557484,21872,GLAMOROUS  MUG,1,2011-06-20 14:36:00,1.25,14796.0,United Kingdom
563753,20727,LUNCH BAG  BLACK SKULL.,10,2011-08-19 10:51:00,1.65,12513.0,France
570458,84580,MOUSE TOY WITH PINK T-SHIRT,2,2011-10-10 15:39:00,3.75,14535.0,United Kingdom
511096,22719,GUMBALL MONOCHROME COAT RACK,12,2010-06-06 15:49:00,1.25,12682.0,France
538177,22969,HOMEMADE JAM SCENTED CANDLES,2,2010-12-10 09:51:00,3.36,,United Kingdom
566602,21507,ELEPHANT BIRTHDAY CARD ,1,2011-09-13 16:05:00,0.83,,United Kingdom
578270,21154,RED RETROSPOT OVEN GLOVE ,1,2011-11-23 13:39:00,2.46,14096.0,United Kingdom
504909,22198,"POPCORN HOLDER , LARGE",12,2010-04-19 08:57:00,1.65,15410.0,United Kingdom
532114,16161P,WRAP ENGLISH ROSE ,25,2010-11-10 17:39:00,0.42,14030.0,United Kingdom
571713,21356,TOAST ITS - FAIRY FLOWER,1,2011-10-18 16:58:00,0.83,,United Kingdom
501836,47566B,TEA TIME PARTY BUNTING,6,2010-03-19 17:03:00,4.65,15808.0,United Kingdom
578018,21844,RED RETROSPOT MUG,6,2011-11-22 13:08:00,2.95,15311.0,United Kingdom
